epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,1632.78,0.36185,0.30107,0.85061,0.99619,1,0.995,0.96364,0.30734,0.27136,0.79479,0.00088592,0.00088592,0.00088592
164,1639.16,0.39443,0.29204,0.83316,0.99556,1,0.995,0.96422,0.30342,0.26665,0.79468,0.000875642,0.000875642,0.000875642
165,1645.84,0.39971,0.31407,0.87068,0.98442,1,0.99419,0.96514,0.29928,0.26767,0.79507,0.000865378,0.000865378,0.000865378
166,1651.46,0.38558,0.28065,0.80575,0.98294,1,0.98622,0.95972,0.289,0.27523,0.79344,0.00085513,0.00085513,0.00085513
167,1656.23,0.35371,0.26905,0.82579,0.98126,1,0.98635,0.95868,0.28772,0.27964,0.79297,0.000844899,0.000844899,0.000844899
168,1662.37,0.38558,0.30546,0.85516,0.98018,1,0.98649,0.95935,0.29078,0.27844,0.79267,0.000834686,0.000834686,0.000834686
169,1668.59,0.43214,0.34758,0.88961,0.98242,1,0.98973,0.96735,0.29411,0.26529,0.79271,0.000824492,0.000824492,0.000824492
170,1675.13,0.38582,0.30016,0.85405,0.98284,1,0.99432,0.98362,0.28462,0.26018,0.79076,0.000814319,0.000814319,0.000814319
171,1681.42,0.36491,0.30128,0.84667,0.98257,1,0.99446,0.98093,0.28475,0.25611,0.79124,0.000804167,0.000804167,0.000804167
172,1687.33,0.40836,0.29597,0.83823,0.98288,1,0.99473,0.98131,0.29248,0.25457,0.79342,0.000794038,0.000794038,0.000794038
173,1694.31,0.37012,0.29797,0.83271,0.98293,1,0.99473,0.97889,0.29739,0.25439,0.79369,0.000783933,0.000783933,0.000783933
174,1701.37,0.39786,0.31122,0.84952,0.98375,1,0.99486,0.97227,0.28856,0.25931,0.78999,0.000773852,0.000773852,0.000773852
175,1708.58,0.34893,0.28966,0.84709,0.98421,1,0.995,0.9661,0.29991,0.25737,0.79204,0.000763797,0.000763797,0.000763797
176,1714.25,0.40718,0.29929,0.85384,0.99411,1,0.995,0.96247,0.31431,0.25881,0.79542,0.000753769,0.000753769,0.000753769
177,1720.43,0.38615,0.31253,0.8838,0.99033,1,0.995,0.96107,0.31608,0.25705,0.79832,0.000743769,0.000743769,0.000743769
178,1727.21,0.39359,0.30648,0.86844,0.99298,1,0.995,0.96424,0.29271,0.25407,0.79611,0.000733799,0.000733799,0.000733799
179,1734.82,0.4044,0.3249,0.88531,0.99675,1,0.995,0.95764,0.29375,0.25164,0.79658,0.000723859,0.000723859,0.000723859
180,1740.52,0.33596,0.27274,0.81565,0.99633,1,0.995,0.95457,0.29693,0.247,0.79609,0.00071395,0.00071395,0.00071395
181,1747.87,0.39147,0.31721,0.86628,0.99672,1,0.995,0.96529,0.28997,0.24053,0.79372,0.000704073,0.000704073,0.000704073
182,1755.25,0.36792,0.30756,0.83281,0.99822,1,0.995,0.97539,0.26972,0.24471,0.78861,0.00069423,0.00069423,0.00069423
183,1761.57,0.37122,0.30505,0.83953,0.98597,1,0.995,0.98117,0.27195,0.24981,0.7895,0.000684422,0.000684422,0.000684422
